ID;JobFamily;JobFamilyDescription;JobClass;JobClassDescription;PayGrade;EducationLevel;Experience;OrgImpact;ProblemSolving;Supervision;ContactLevel;FinancialBudget;PG
1;1;Accounting And Finance;1;Accountant I;5;3;1;3;3;4;3;5;PG05
2;1;Accounting And Finance;2;Accountant II;6;4;1;5;4;5;7;7;PG06
3;1;Accounting And Finance;3;Accountant III;8;4;2;6;5;6;7;10;PG08
4;1;Accounting And Finance;4;Accountant IV;10;5;5;6;6;7;8;11;PG10
5;2;Administrative Support;5;Admin Support I;1;1;0;1;1;1;1;1;PG01
6;2;Administrative Support;6;Admin Support II;2;1;1;1;1;1;2;3;PG02
7;2;Administrative Support;7;Admin Support III;3;1;2;1;2;1;3;3;PG03
8;2;Administrative Support;8;Administrative Support IV;4;4;0;1;2;1;3;5;PG04
9;2;Administrative Support;9;Administrative Support V;5;4;0;4;3;5;7;7;PG05
10;3;Baker;10;Baker I;4;2;0;1;4;1;1;2;PG04
11;3;Baker;11;Baker II;6;2;0;3;4;1;6;4;PG06
12;3;Baker;12;Baker III;9;2;0;4;5;5;6;10;PG09
13;4;Buildings And Facilities;13;Facilities I;5;1;0;3;4;3;7;4;PG05
14;4;Buildings And Facilities;14;Facilities II;6;3;0;3;4;5;6;7;PG06
15;4;Buildings And Facilities;15;Facilities III;9;4;0;4;5;7;6;10;PG09
16;4;Buildings And Facilities;16;Facilities IV;10;5;0;6;6;7;8;11;PG10
17;4;Buildings And Facilities;44;Maintenance Services I;2;1;0;1;2;1;1;1;PG02
18;4;Buildings And Facilities;45;Maintenance Services II;3;1;1;1;2;1;1;1;PG03
19;4;Buildings And Facilities;46;Maintenance Services III;4;1;1;3;3;4;3;2;PG04
20;4;Buildings And Facilities;47;Maintenance Services IV;5;3;2;3;4;5;8;4;PG05
21;5;Buyer;17;Buyer II;5;2;1;3;3;4;3;5;PG05
22;5;Buyer;18;Buyer III;8;4;0;6;5;6;7;8;PG08
23;5;Buyer;19;Buyer IV;9;4;10;6;5;6;7;9;PG09
24;6;Cashier;20;Cashier I;1;1;2;2;1;2;1;1;PG01
25;6;Cashier;21;Cashier II;3;3;3;2;3;4;2;1;PG03
26;6;Cashier;22;Cashier III;6;4;2;4;4;5;7;7;PG06
27;7;Communications And Media;23;Communications I;4;2;0;1;3;4;4;1;PG04
28;7;Communications And Media;24;Communications II;5;4;0;1;2;1;3;4;PG05
29;7;Communications And Media;25;Communications III;8;5;2;5;5;6;7;10;PG08
30;7;Communications And Media;26;Photographer  I;2;1;0;1;1;1;1;1;PG02
31;7;Communications And Media;27;Photographer II;3;1;1;1;2;1;3;3;PG03
32;7;Communications And Media;28;Photographer III;5;4;0;1;3;1;4;3;PG05
33;7;Communications And Media;29;Photographer IV;7;4;0;3;4;5;7;7;PG07
34;7;Communications And Media;30;Printing II;2;1;0;1;2;1;1;1;PG02
35;7;Communications And Media;31;Printing III;4;1;0;3;3;4;5;4;PG04
36;7;Communications And Media;32;Printing IV;5;2;0;3;4;4;5;4;PG05
37;8;Corporate Research;33;Data Scientist;10;6;5;6;6;7;7;11;PG10
38;8;Corporate Research;34;Research  Analyst I;2;1;0;1;1;1;1;1;PG02
39;8;Corporate Research;35;Research  Analyst II;4;3;0;3;2;1;1;1;PG04
40;8;Corporate Research;36;Research  Analyst Iii;5;4;2;3;4;4;1;2;PG05
41;8;Corporate Research;37;Research  Analyst IV;8;6;5;4;5;6;7;11;PG08
42;9;Finance  And Accounting;38;Financial  Officer I;5;4;1;3;4;4;3;5;PG05
43;9;Finance  And Accounting;39;Financial  Officer II;6;4;2;3;4;5;6;7;PG06
44;9;Finance  And Accounting;40;Financial  Officer III;9;4;3;6;5;6;7;10;PG09
45;10;Human Resources;41;Human Resources I;5;4;2;3;3;4;3;1;PG05
46;10;Human Resources;42;Human Resources II;7;4;3;4;4;4;7;1;PG07
47;10;Human Resources;43;Human Resources III;8;5;5;6;5;4;7;10;PG08
48;11;Meat Cutter;48;Meat Cutter I;5;4;1;3;3;4;3;3;PG05
49;11;Meat Cutter;49;Meat Cutter II;7;4;3;4;4;4;7;7;PG07
50;11;Meat Cutter;50;Meat Cutter III;9;5;5;6;5;6;7;10;PG09
51;11;Meat Cutter;51;Meat Cutter IV;10;5;5;6;6;7;8;11;PG10
52;12;Produce;52;Produce I;3;1;1;3;3;4;4;2;PG03
53;12;Produce;53;Produce II;6;4;1;4;4;4;6;2;PG06
54;12;Produce;54;Produce III;7;4;3;4;4;5;6;7;PG07
55;12;Produce;55;Produce IV;9;4;5;6;5;6;6;10;PG09
56;12;Produce;56;Produce V;10;5;8;6;6;7;8;11;PG10
57;13;Secretary;57;Secretary II;3;1;2;3;2;1;2;4;PG03
58;13;Secretary;58;Secretary III;5;2;3;3;3;4;3;5;PG05
59;14;Stockkeeping;59;StockKeeper I;4;3;0;1;2;1;3;1;PG04
60;14;Stockkeeping;60;StockKeeper II;5;3;0;3;3;1;7;5;PG05
61;14;Stockkeeping;61;StockKeeper III;8;4;0;4;5;6;7;7;PG08
62;15;Systems Analyst;62;Systems Analyst I;3;1;1;1;2;1;1;1;PG03
63;15;Systems Analyst;63;Systems Analyst II;5;4;1;3;3;4;3;4;PG05
64;15;Systems Analyst;64;Systems Analyst III;6;5;2;4;4;5;7;5;PG06
65;15;Systems Analyst;65;Systems Analyst IV;8;5;5;6;5;6;7;7;PG08
66;15;Systems Analyst;66;Systems Analyst V;10;5;5;6;6;7;8;11;PG10
67;1;Accounting And Finance;1;Accountant I;5;3;1;3;3;4;3;5;PG05
68;1;Accounting And Finance;2;Accountant II;6;4;1;5;4;5;7;7;PG06
69;1;Accounting And Finance;3;Accountant III;8;4;2;6;5;6;7;10;PG08
70;1;Accounting And Finance;4;Accountant IV;10;5;5;6;6;7;8;11;PG10
71;2;Administrative Support;5;Admin Support I;1;1;0;1;1;1;1;1;PG01
72;2;Administrative Support;6;Admin Support II;2;1;1;1;1;1;2;3;PG02
73;2;Administrative Support;7;Admin Support III;3;1;2;1;2;1;3;3;PG03
74;2;Administrative Support;8;Administrative Support IV;4;4;0;1;2;1;3;5;PG04
75;2;Administrative Support;9;Administrative Support V;5;4;0;4;3;5;7;7;PG05
76;3;Baker;10;Baker I;4;2;0;1;4;1;1;2;PG04
77;3;Baker;11;Baker II;6;2;0;3;4;1;6;4;PG06
78;3;Baker;12;Baker III;9;2;0;4;5;5;6;10;PG09
79;4;Buildings And Facilities;13;Facilities I;5;1;0;3;4;3;7;4;PG05
80;4;Buildings And Facilities;14;Facilities II;6;3;0;3;4;5;6;7;PG06
81;4;Buildings And Facilities;15;Facilities III;9;4;0;4;5;7;6;10;PG09
82;4;Buildings And Facilities;16;Facilities IV;10;5;0;6;6;7;8;11;PG10
83;4;Buildings And Facilities;44;Maintenance Services I;2;1;0;1;2;1;1;1;PG02
84;4;Buildings And Facilities;45;Maintenance Services II;3;1;1;1;2;1;1;1;PG03
85;4;Buildings And Facilities;46;Maintenance Services III;4;1;1;3;3;4;3;2;PG04
86;4;Buildings And Facilities;47;Maintenance Services IV;5;3;2;3;4;5;8;4;PG05
87;5;Buyer;17;Buyer II;5;2;1;3;3;4;3;5;PG05
88;5;Buyer;18;Buyer III;8;4;0;6;5;6;7;8;PG08
89;5;Buyer;19;Buyer IV;9;4;10;6;5;6;7;9;PG09
90;6;Cashier;20;Cashier I;1;1;2;2;1;2;1;1;PG01
91;6;Cashier;21;Cashier II;3;3;3;2;3;4;2;1;PG03
92;6;Cashier;22;Cashier III;6;4;2;4;4;5;7;7;PG06
93;7;Communications And Media;23;Communications I;4;2;0;1;3;4;4;1;PG04
94;7;Communications And Media;24;Communications II;5;4;0;1;2;1;3;4;PG05
95;7;Communications And Media;25;Communications III;8;5;2;5;5;6;7;10;PG08
96;7;Communications And Media;26;Photographer  I;2;1;0;1;1;1;1;1;PG02
97;7;Communications And Media;27;Photographer II;3;1;1;1;2;1;3;3;PG03
98;7;Communications And Media;28;Photographer III;5;4;0;1;3;1;4;3;PG05
99;7;Communications And Media;29;Photographer IV;7;4;0;3;4;5;7;7;PG07
100;7;Communications And Media;30;Printing II;2;1;0;1;2;1;1;1;PG02
101;7;Communications And Media;31;Printing III;4;1;0;3;3;4;5;4;PG04
102;7;Communications And Media;32;Printing IV;5;2;0;3;4;4;5;4;PG05
103;8;Corporate Research;33;Data Scientist;10;6;5;6;6;7;7;11;PG10
104;8;Corporate Research;34;Research  Analyst I;2;1;0;1;1;1;1;1;PG02
105;8;Corporate Research;35;Research  Analyst II;4;3;0;3;2;1;1;1;PG04
106;8;Corporate Research;36;Research  Analyst Iii;5;4;2;3;4;4;1;2;PG05
107;8;Corporate Research;37;Research  Analyst IV;8;6;5;4;5;6;7;11;PG08
108;9;Finance  And Accounting;38;Financial  Officer I;5;4;1;3;4;4;3;5;PG05
109;9;Finance  And Accounting;39;Financial  Officer II;6;4;2;3;4;5;6;7;PG06
110;9;Finance  And Accounting;40;Financial  Officer III;9;4;3;6;5;6;7;10;PG09
111;10;Human Resources;41;Human Resources I;5;4;2;3;3;4;3;1;PG05
112;10;Human Resources;42;Human Resources II;7;4;3;4;4;4;7;1;PG07
113;10;Human Resources;43;Human Resources III;8;5;5;6;5;4;7;10;PG08
114;11;Meat Cutter;48;Meat Cutter I;5;4;1;3;3;4;3;3;PG05
115;11;Meat Cutter;49;Meat Cutter II;7;4;3;4;4;4;7;7;PG07
116;11;Meat Cutter;50;Meat Cutter III;9;5;5;6;5;6;7;10;PG09
117;11;Meat Cutter;51;Meat Cutter IV;10;5;5;6;6;7;8;11;PG10
118;12;Produce;52;Produce I;3;1;1;3;3;4;4;2;PG03
119;12;Produce;53;Produce II;6;4;1;4;4;4;6;2;PG06
120;12;Produce;54;Produce III;7;4;3;4;4;5;6;7;PG07
121;12;Produce;55;Produce IV;9;4;5;6;5;6;6;10;PG09
122;12;Produce;56;Produce V;10;5;8;6;6;7;8;11;PG10
123;13;Secretary;57;Secretary II;3;1;2;3;2;1;2;4;PG03
124;13;Secretary;58;Secretary III;5;2;3;3;3;4;3;5;PG05
125;14;Stockkeeping;59;StockKeeper I;4;3;0;1;2;1;3;1;PG04
126;14;Stockkeeping;60;StockKeeper II;5;3;0;3;3;1;7;5;PG05
127;14;Stockkeeping;61;StockKeeper III;8;4;0;4;5;6;7;7;PG08
128;15;Systems Analyst;62;Systems Analyst I;3;1;1;1;2;1;1;1;PG03
129;15;Systems Analyst;63;Systems Analyst II;5;4;1;3;3;4;3;4;PG05
130;15;Systems Analyst;64;Systems Analyst III;6;5;2;4;4;5;7;5;PG06
131;15;Systems Analyst;65;Systems Analyst IV;8;5;5;6;5;6;7;7;PG08
132;15;Systems Analyst;66;Systems Analyst V;10;5;5;6;6;7;8;11;PG10
133;1;Accounting And Finance;1;Accountant I;5;3;1;3;3;4;3;5;PG05
134;1;Accounting And Finance;2;Accountant II;6;4;1;5;4;5;7;7;PG06
135;1;Accounting And Finance;3;Accountant III;8;4;2;6;5;6;7;10;PG08
136;1;Accounting And Finance;4;Accountant IV;10;5;5;6;6;7;8;11;PG10
137;2;Administrative Support;5;Admin Support I;1;1;0;1;1;1;1;1;PG01
138;2;Administrative Support;6;Admin Support II;2;1;1;1;1;1;2;3;PG02
139;2;Administrative Support;7;Admin Support III;3;1;2;1;2;1;3;3;PG03
140;2;Administrative Support;8;Administrative Support IV;4;4;0;1;2;1;3;5;PG04
141;2;Administrative Support;9;Administrative Support V;5;4;0;4;3;5;7;7;PG05
142;3;Baker;10;Baker I;4;2;0;1;4;1;1;2;PG04
143;3;Baker;11;Baker II;6;2;0;3;4;1;6;4;PG06
144;3;Baker;12;Baker III;9;2;0;4;5;5;6;10;PG09
145;4;Buildings And Facilities;13;Facilities I;5;1;0;3;4;3;7;4;PG05
146;4;Buildings And Facilities;14;Facilities II;6;3;0;3;4;5;6;7;PG06
147;4;Buildings And Facilities;15;Facilities III;9;4;0;4;5;7;6;10;PG09
148;4;Buildings And Facilities;16;Facilities IV;10;5;0;6;6;7;8;11;PG10
149;4;Buildings And Facilities;44;Maintenance Services I;2;1;0;1;2;1;1;1;PG02
150;4;Buildings And Facilities;45;Maintenance Services II;3;1;1;1;2;1;1;1;PG03
151;4;Buildings And Facilities;46;Maintenance Services III;4;1;1;3;3;4;3;2;PG04
152;4;Buildings And Facilities;47;Maintenance Services IV;5;3;2;3;4;5;8;4;PG05
153;5;Buyer;17;Buyer II;5;2;1;3;3;4;3;5;PG05
154;5;Buyer;18;Buyer III;8;4;0;6;5;6;7;8;PG08
155;5;Buyer;19;Buyer IV;9;4;10;6;5;6;7;9;PG09
156;6;Cashier;20;Cashier I;1;1;2;2;1;2;1;1;PG01
157;6;Cashier;21;Cashier II;3;3;3;2;3;4;2;1;PG03
158;6;Cashier;22;Cashier III;6;4;2;4;4;5;7;7;PG06
159;7;Communications And Media;23;Communications I;4;2;0;1;3;4;4;1;PG04
160;7;Communications And Media;24;Communications II;5;4;0;1;2;1;3;4;PG05
161;7;Communications And Media;25;Communications III;8;5;2;5;5;6;7;10;PG08
162;7;Communications And Media;26;Photographer  I;2;1;0;1;1;1;1;1;PG02
163;7;Communications And Media;27;Photographer II;3;1;1;1;2;1;3;3;PG03
164;7;Communications And Media;28;Photographer III;5;4;0;1;3;1;4;3;PG05
165;7;Communications And Media;29;Photographer IV;7;4;0;3;4;5;7;7;PG07
166;7;Communications And Media;30;Printing II;2;1;0;1;2;1;1;1;PG02
167;7;Communications And Media;31;Printing III;4;1;0;3;3;4;5;4;PG04
168;7;Communications And Media;32;Printing IV;5;2;0;3;4;4;5;4;PG05
169;8;Corporate Research;33;Data Scientist;10;6;5;6;6;7;7;11;PG10
170;8;Corporate Research;34;Research  Analyst I;2;1;0;1;1;1;1;1;PG02
171;8;Corporate Research;35;Research  Analyst II;4;3;0;3;2;1;1;1;PG04
172;8;Corporate Research;36;Research  Analyst Iii;5;4;2;3;4;4;1;2;PG05
173;8;Corporate Research;37;Research  Analyst IV;8;6;5;4;5;6;7;11;PG08
174;9;Finance  And Accounting;38;Financial  Officer I;5;4;1;3;4;4;3;5;PG05
175;9;Finance  And Accounting;39;Financial  Officer II;6;4;2;3;4;5;6;7;PG06
176;9;Finance  And Accounting;40;Financial  Officer III;9;4;3;6;5;6;7;10;PG09
177;10;Human Resources;41;Human Resources I;5;4;2;3;3;4;3;1;PG05
178;10;Human Resources;42;Human Resources II;7;4;3;4;4;4;7;1;PG07
179;10;Human Resources;43;Human Resources III;8;5;5;6;5;4;7;10;PG08
180;11;Meat Cutter;48;Meat Cutter I;5;4;1;3;3;4;3;3;PG05
181;11;Meat Cutter;49;Meat Cutter II;7;4;3;4;4;4;7;7;PG07
182;11;Meat Cutter;50;Meat Cutter III;9;5;5;6;5;6;7;10;PG09
183;11;Meat Cutter;51;Meat Cutter IV;10;5;5;6;6;7;8;11;PG10
184;12;Produce;52;Produce I;3;1;1;3;3;4;4;2;PG03
185;12;Produce;53;Produce II;6;4;1;4;4;4;6;2;PG06
186;12;Produce;54;Produce III;7;4;3;4;4;5;6;7;PG07
187;12;Produce;55;Produce IV;9;4;5;6;5;6;6;10;PG09
188;12;Produce;56;Produce V;10;5;8;6;6;7;8;11;PG10
189;13;Secretary;57;Secretary II;3;1;2;3;2;1;2;4;PG03
190;13;Secretary;58;Secretary III;5;2;3;3;3;4;3;5;PG05
191;14;Stockkeeping;59;StockKeeper I;4;3;0;1;2;1;3;1;PG04
192;14;Stockkeeping;60;StockKeeper II;5;3;0;3;3;1;7;5;PG05
193;14;Stockkeeping;61;StockKeeper III;8;4;0;4;5;6;7;7;PG08
194;15;Systems Analyst;62;Systems Analyst I;3;1;1;1;2;1;1;1;PG03
195;15;Systems Analyst;63;Systems Analyst II;5;4;1;3;3;4;3;4;PG05
196;15;Systems Analyst;64;Systems Analyst III;6;5;2;4;4;5;7;5;PG06
197;15;Systems Analyst;65;Systems Analyst IV;8;5;5;6;5;6;7;7;PG08
198;15;Systems Analyst;66;Systems Analyst V;10;5;5;6;6;7;8;11;PG10
199;1;Accounting And Finance;1;Accountant I;5;3;1;3;3;4;3;5;PG05
200;1;Accounting And Finance;2;Accountant II;6;4;1;5;4;5;7;7;PG06
201;1;Accounting And Finance;3;Accountant III;8;4;2;6;5;6;7;10;PG08
202;1;Accounting And Finance;4;Accountant IV;10;5;5;6;6;7;8;11;PG10
203;2;Administrative Support;5;Admin Support I;1;1;0;1;1;1;1;1;PG01
204;2;Administrative Support;6;Admin Support II;2;1;1;1;1;1;2;3;PG02
205;2;Administrative Support;7;Admin Support III;3;1;2;1;2;1;3;3;PG03
206;2;Administrative Support;8;Administrative Support IV;4;4;0;1;2;1;3;5;PG04
207;2;Administrative Support;9;Administrative Support V;5;4;0;4;3;5;7;7;PG05
208;3;Baker;10;Baker I;4;2;0;1;4;1;1;2;PG04
209;3;Baker;11;Baker II;6;2;0;3;4;1;6;4;PG06
210;3;Baker;12;Baker III;9;2;0;4;5;5;6;10;PG09
211;4;Buildings And Facilities;13;Facilities I;5;1;0;3;4;3;7;4;PG05
212;4;Buildings And Facilities;14;Facilities II;6;3;0;3;4;5;6;7;PG06
213;4;Buildings And Facilities;15;Facilities III;9;4;0;4;5;7;6;10;PG09
214;4;Buildings And Facilities;16;Facilities IV;10;5;0;6;6;7;8;11;PG10
215;4;Buildings And Facilities;44;Maintenance Services I;2;1;0;1;2;1;1;1;PG02
216;4;Buildings And Facilities;45;Maintenance Services II;3;1;1;1;2;1;1;1;PG03
217;4;Buildings And Facilities;46;Maintenance Services III;4;1;1;3;3;4;3;2;PG04
218;4;Buildings And Facilities;47;Maintenance Services IV;5;3;2;3;4;5;8;4;PG05
219;5;Buyer;17;Buyer II;5;2;1;3;3;4;3;5;PG05
220;5;Buyer;18;Buyer III;8;4;0;6;5;6;7;8;PG08
221;5;Buyer;19;Buyer IV;9;4;10;6;5;6;7;9;PG09
222;6;Cashier;20;Cashier I;1;1;2;2;1;2;1;1;PG01
223;6;Cashier;21;Cashier II;3;3;3;2;3;4;2;1;PG03
224;6;Cashier;22;Cashier III;6;4;2;4;4;5;7;7;PG06
225;7;Communications And Media;23;Communications I;4;2;0;1;3;4;4;1;PG04
226;7;Communications And Media;24;Communications II;5;4;0;1;2;1;3;4;PG05
227;7;Communications And Media;25;Communications III;8;5;2;5;5;6;7;10;PG08
228;7;Communications And Media;26;Photographer  I;2;1;0;1;1;1;1;1;PG02
229;7;Communications And Media;27;Photographer II;3;1;1;1;2;1;3;3;PG03
230;7;Communications And Media;28;Photographer III;5;4;0;1;3;1;4;3;PG05
231;7;Communications And Media;29;Photographer IV;7;4;0;3;4;5;7;7;PG07
232;7;Communications And Media;30;Printing II;2;1;0;1;2;1;1;1;PG02
233;7;Communications And Media;31;Printing III;4;1;0;3;3;4;5;4;PG04
234;7;Communications And Media;32;Printing IV;5;2;0;3;4;4;5;4;PG05
235;8;Corporate Research;33;Data Scientist;10;6;5;6;6;7;7;11;PG10
236;8;Corporate Research;34;Research  Analyst I;2;1;0;1;1;1;1;1;PG02
237;8;Corporate Research;35;Research  Analyst II;4;3;0;3;2;1;1;1;PG04
238;8;Corporate Research;36;Research  Analyst Iii;5;4;2;3;4;4;1;2;PG05
239;8;Corporate Research;37;Research  Analyst IV;8;6;5;4;5;6;7;11;PG08
240;9;Finance  And Accounting;38;Financial  Officer I;5;4;1;3;4;4;3;5;PG05
241;9;Finance  And Accounting;39;Financial  Officer II;6;4;2;3;4;5;6;7;PG06
242;9;Finance  And Accounting;40;Financial  Officer III;9;4;3;6;5;6;7;10;PG09
243;10;Human Resources;41;Human Resources I;5;4;2;3;3;4;3;1;PG05
244;10;Human Resources;42;Human Resources II;7;4;3;4;4;4;7;1;PG07
245;10;Human Resources;43;Human Resources III;8;5;5;6;5;4;7;10;PG08
246;11;Meat Cutter;48;Meat Cutter I;5;4;1;3;3;4;3;3;PG05
247;11;Meat Cutter;49;Meat Cutter II;7;4;3;4;4;4;7;7;PG07
248;11;Meat Cutter;50;Meat Cutter III;9;5;5;6;5;6;7;10;PG09
249;11;Meat Cutter;51;Meat Cutter IV;10;5;5;6;6;7;8;11;PG10
250;12;Produce;52;Produce I;3;1;1;3;3;4;4;2;PG03
251;12;Produce;53;Produce II;6;4;1;4;4;4;6;2;PG06
252;12;Produce;54;Produce III;7;4;3;4;4;5;6;7;PG07
253;12;Produce;55;Produce IV;9;4;5;6;5;6;6;10;PG09
254;12;Produce;56;Produce V;10;5;8;6;6;7;8;11;PG10
255;13;Secretary;57;Secretary II;3;1;2;3;2;1;2;4;PG03
256;13;Secretary;58;Secretary III;5;2;3;3;3;4;3;5;PG05
257;14;Stockkeeping;59;StockKeeper I;4;3;0;1;2;1;3;1;PG04
258;14;Stockkeeping;60;StockKeeper II;5;3;0;3;3;1;7;5;PG05
259;14;Stockkeeping;61;StockKeeper III;8;4;0;4;5;6;7;7;PG08
260;15;Systems Analyst;62;Systems Analyst I;3;1;1;1;2;1;1;1;PG03
261;15;Systems Analyst;63;Systems Analyst II;5;4;1;3;3;4;3;4;PG05
262;15;Systems Analyst;64;Systems Analyst III;6;5;2;4;4;5;7;5;PG06
263;15;Systems Analyst;65;Systems Analyst IV;8;5;5;6;5;6;7;7;PG08
