ID;JobFamily;JobFamilyDescription;JobClass;JobClassDescription;PayGrade;EducationLevel;Experience;OrgImpact;ProblemSolving;Supervision;ContactLevel;FinancialBudget;PG
264;15;Systems Analyst;66;Systems Analyst V;10;5;5;6;6;7;8;11;PG10
265;1;Accounting And Finance;1;Accountant I;5;3;1;3;3;4;3;5;PG05
266;1;Accounting And Finance;2;Accountant II;6;4;1;5;4;5;7;7;PG06
267;1;Accounting And Finance;3;Accountant III;8;4;2;6;5;6;7;10;PG08
268;1;Accounting And Finance;4;Accountant IV;10;5;5;6;6;7;8;11;PG10
269;2;Administrative Support;5;Admin Support I;1;1;0;1;1;1;1;1;PG01
270;2;Administrative Support;6;Admin Support II;2;1;1;1;1;1;2;3;PG02
271;2;Administrative Support;7;Admin Support III;3;1;2;1;2;1;3;3;PG03
272;2;Administrative Support;8;Administrative Support IV;4;4;0;1;2;1;3;5;PG04
273;2;Administrative Support;9;Administrative Support V;5;4;0;4;3;5;7;7;PG05
274;3;Baker;10;Baker I;4;2;0;1;4;1;1;2;PG04
275;3;Baker;11;Baker II;6;2;0;3;4;1;6;4;PG06
276;3;Baker;12;Baker III;9;2;0;4;5;5;6;10;PG09
277;4;Buildings And Facilities;13;Facilities I;5;1;0;3;4;3;7;4;PG05
278;4;Buildings And Facilities;14;Facilities II;6;3;0;3;4;5;6;7;PG06
279;4;Buildings And Facilities;15;Facilities III;9;4;0;4;5;7;6;10;PG09
280;4;Buildings And Facilities;16;Facilities IV;10;5;0;6;6;7;8;11;PG10
281;4;Buildings And Facilities;44;Maintenance Services I;2;1;0;1;2;1;1;1;PG02
282;4;Buildings And Facilities;45;Maintenance Services II;3;1;1;1;2;1;1;1;PG03
283;4;Buildings And Facilities;46;Maintenance Services III;4;1;1;3;3;4;3;2;PG04
284;4;Buildings And Facilities;47;Maintenance Services IV;5;3;2;3;4;5;8;4;PG05
285;5;Buyer;17;Buyer II;5;2;1;3;3;4;3;5;PG05
286;5;Buyer;18;Buyer III;8;4;0;6;5;6;7;8;PG08
287;5;Buyer;19;Buyer IV;9;4;10;6;5;6;7;9;PG09
288;6;Cashier;20;Cashier I;1;1;2;2;1;2;1;1;PG01
289;6;Cashier;21;Cashier II;3;3;3;2;3;4;2;1;PG03
290;6;Cashier;22;Cashier III;6;4;2;4;4;5;7;7;PG06
291;7;Communications And Media;23;Communications I;4;2;0;1;3;4;4;1;PG04
292;7;Communications And Media;24;Communications II;5;4;0;1;2;1;3;4;PG05
293;7;Communications And Media;25;Communications III;8;5;2;5;5;6;7;10;PG08
294;7;Communications And Media;26;Photographer  I;2;1;0;1;1;1;1;1;PG02
295;7;Communications And Media;27;Photographer II;3;1;1;1;2;1;3;3;PG03
296;7;Communications And Media;28;Photographer III;5;4;0;1;3;1;4;3;PG05
297;7;Communications And Media;29;Photographer IV;7;4;0;3;4;5;7;7;PG07
298;7;Communications And Media;30;Printing II;2;1;0;1;2;1;1;1;PG02
299;7;Communications And Media;31;Printing III;4;1;0;3;3;4;5;4;PG04
300;7;Communications And Media;32;Printing IV;5;2;0;3;4;4;5;4;PG05
301;8;Corporate Research;33;Data Scientist;10;6;5;6;6;7;7;11;PG10
302;8;Corporate Research;34;Research  Analyst I;2;1;0;1;1;1;1;1;PG02
303;8;Corporate Research;35;Research  Analyst II;4;3;0;3;2;1;1;1;PG04
304;8;Corporate Research;36;Research  Analyst Iii;5;4;2;3;4;4;1;2;PG05
305;8;Corporate Research;37;Research  Analyst IV;8;6;5;4;5;6;7;11;PG08
306;9;Finance  And Accounting;38;Financial  Officer I;5;4;1;3;4;4;3;5;PG05
307;9;Finance  And Accounting;39;Financial  Officer II;6;4;2;3;4;5;6;7;PG06
308;9;Finance  And Accounting;40;Financial  Officer III;9;4;3;6;5;6;7;10;PG09
309;10;Human Resources;41;Human Resources I;5;4;2;3;3;4;3;1;PG05
310;10;Human Resources;42;Human Resources II;7;4;3;4;4;4;7;1;PG07
311;10;Human Resources;43;Human Resources III;8;5;5;6;5;4;7;10;PG08
312;11;Meat Cutter;48;Meat Cutter I;5;4;1;3;3;4;3;3;PG05
313;11;Meat Cutter;49;Meat Cutter II;7;4;3;4;4;4;7;7;PG07
314;11;Meat Cutter;50;Meat Cutter III;9;5;5;6;5;6;7;10;PG09
315;11;Meat Cutter;51;Meat Cutter IV;10;5;5;6;6;7;8;11;PG10
316;12;Produce;52;Produce I;3;1;1;3;3;4;4;2;PG03
317;12;Produce;53;Produce II;6;4;1;4;4;4;6;2;PG06
318;12;Produce;54;Produce III;7;4;3;4;4;5;6;7;PG07
319;12;Produce;55;Produce IV;9;4;5;6;5;6;6;10;PG09
320;12;Produce;56;Produce V;10;5;8;6;6;7;8;11;PG10
321;13;Secretary;57;Secretary II;3;1;2;3;2;1;2;4;PG03
322;13;Secretary;58;Secretary III;5;2;3;3;3;4;3;5;PG05
323;14;Stockkeeping;59;StockKeeper I;4;3;0;1;2;1;3;1;PG04
324;14;Stockkeeping;60;StockKeeper II;5;3;0;3;3;1;7;5;PG05
325;14;Stockkeeping;61;StockKeeper III;8;4;0;4;5;6;7;7;PG08
326;15;Systems Analyst;62;Systems Analyst I;3;1;1;1;2;1;1;1;PG03
327;15;Systems Analyst;63;Systems Analyst II;5;4;1;3;3;4;3;4;PG05
328;15;Systems Analyst;64;Systems Analyst III;6;5;2;4;4;5;7;5;PG06
329;15;Systems Analyst;65;Systems Analyst IV;8;5;5;6;5;6;7;7;PG08
330;15;Systems Analyst;66;Systems Analyst V;10;5;5;6;6;7;8;11;PG10
331;1;Accounting And Finance;1;Accountant I;5;3;1;3;3;4;3;5;PG05
332;1;Accounting And Finance;2;Accountant II;6;4;1;5;4;5;7;7;PG06
333;1;Accounting And Finance;3;Accountant III;8;4;2;6;5;6;7;10;PG08
334;1;Accounting And Finance;4;Accountant IV;10;5;5;6;6;7;8;11;PG10
335;2;Administrative Support;5;Admin Support I;1;1;0;1;1;1;1;1;PG01
336;2;Administrative Support;6;Admin Support II;2;1;1;1;1;1;2;3;PG02
337;2;Administrative Support;7;Admin Support III;3;1;2;1;2;1;3;3;PG03
338;2;Administrative Support;8;Administrative Support IV;4;4;0;1;2;1;3;5;PG04
339;2;Administrative Support;9;Administrative Support V;5;4;0;4;3;5;7;7;PG05
340;3;Baker;10;Baker I;4;2;0;1;4;1;1;2;PG04
341;3;Baker;11;Baker II;6;2;0;3;4;1;6;4;PG06
342;3;Baker;12;Baker III;9;2;0;4;5;5;6;10;PG09
343;4;Buildings And Facilities;13;Facilities I;5;1;0;3;4;3;7;4;PG05
344;4;Buildings And Facilities;14;Facilities II;6;3;0;3;4;5;6;7;PG06
345;4;Buildings And Facilities;15;Facilities III;9;4;0;4;5;7;6;10;PG09
346;4;Buildings And Facilities;16;Facilities IV;10;5;0;6;6;7;8;11;PG10
347;4;Buildings And Facilities;44;Maintenance Services I;2;1;0;1;2;1;1;1;PG02
348;4;Buildings And Facilities;45;Maintenance Services II;3;1;1;1;2;1;1;1;PG03
349;4;Buildings And Facilities;46;Maintenance Services III;4;1;1;3;3;4;3;2;PG04
350;4;Buildings And Facilities;47;Maintenance Services IV;5;3;2;3;4;5;8;4;PG05
351;5;Buyer;17;Buyer II;5;2;1;3;3;4;3;5;PG05
352;5;Buyer;18;Buyer III;8;4;0;6;5;6;7;8;PG08
353;5;Buyer;19;Buyer IV;9;4;10;6;5;6;7;9;PG09
354;6;Cashier;20;Cashier I;1;1;2;2;1;2;1;1;PG01
355;6;Cashier;21;Cashier II;3;3;3;2;3;4;2;1;PG03
356;6;Cashier;22;Cashier III;6;4;2;4;4;5;7;7;PG06
357;7;Communications And Media;23;Communications I;4;2;0;1;3;4;4;1;PG04
358;7;Communications And Media;24;Communications II;5;4;0;1;2;1;3;4;PG05
359;7;Communications And Media;25;Communications III;8;5;2;5;5;6;7;10;PG08
360;7;Communications And Media;26;Photographer  I;2;1;0;1;1;1;1;1;PG02
361;7;Communications And Media;27;Photographer II;3;1;1;1;2;1;3;3;PG03
362;7;Communications And Media;28;Photographer III;5;4;0;1;3;1;4;3;PG05
363;7;Communications And Media;29;Photographer IV;7;4;0;3;4;5;7;7;PG07
364;7;Communications And Media;30;Printing II;2;1;0;1;2;1;1;1;PG02
365;7;Communications And Media;31;Printing III;4;1;0;3;3;4;5;4;PG04
366;7;Communications And Media;32;Printing IV;5;2;0;3;4;4;5;4;PG05
367;8;Corporate Research;33;Data Scientist;10;6;5;6;6;7;7;11;PG10
368;8;Corporate Research;34;Research  Analyst I;2;1;0;1;1;1;1;1;PG02
369;8;Corporate Research;35;Research  Analyst II;4;3;0;3;2;1;1;1;PG04
370;8;Corporate Research;36;Research  Analyst Iii;5;4;2;3;4;4;1;2;PG05
371;8;Corporate Research;37;Research  Analyst IV;8;6;5;4;5;6;7;11;PG08
372;9;Finance  And Accounting;38;Financial  Officer I;5;4;1;3;4;4;3;5;PG05
373;9;Finance  And Accounting;39;Financial  Officer II;6;4;2;3;4;5;6;7;PG06
374;9;Finance  And Accounting;40;Financial  Officer III;9;4;3;6;5;6;7;10;PG09
375;10;Human Resources;41;Human Resources I;5;4;2;3;3;4;3;1;PG05
376;10;Human Resources;42;Human Resources II;7;4;3;4;4;4;7;1;PG07
377;10;Human Resources;43;Human Resources III;8;5;5;6;5;4;7;10;PG08
378;11;Meat Cutter;48;Meat Cutter I;5;4;1;3;3;4;3;3;PG05
379;11;Meat Cutter;49;Meat Cutter II;7;4;3;4;4;4;7;7;PG07
380;11;Meat Cutter;50;Meat Cutter III;9;5;5;6;5;6;7;10;PG09
381;11;Meat Cutter;51;Meat Cutter IV;10;5;5;6;6;7;8;11;PG10
382;12;Produce;52;Produce I;3;1;1;3;3;4;4;2;PG03
383;12;Produce;53;Produce II;6;4;1;4;4;4;6;2;PG06
384;12;Produce;54;Produce III;7;4;3;4;4;5;6;7;PG07
385;12;Produce;55;Produce IV;9;4;5;6;5;6;6;10;PG09
386;12;Produce;56;Produce V;10;5;8;6;6;7;8;11;PG10
387;13;Secretary;57;Secretary II;3;1;2;3;2;1;2;4;PG03
388;13;Secretary;58;Secretary III;5;2;3;3;3;4;3;5;PG05
389;14;Stockkeeping;59;StockKeeper I;4;3;0;1;2;1;3;1;PG04
390;14;Stockkeeping;60;StockKeeper II;5;3;0;3;3;1;7;5;PG05
391;14;Stockkeeping;61;StockKeeper III;8;4;0;4;5;6;7;7;PG08
392;15;Systems Analyst;62;Systems Analyst I;3;1;1;1;2;1;1;1;PG03
393;15;Systems Analyst;63;Systems Analyst II;5;4;1;3;3;4;3;4;PG05
394;15;Systems Analyst;64;Systems Analyst III;6;5;2;4;4;5;7;5;PG06
395;15;Systems Analyst;65;Systems Analyst IV;8;5;5;6;5;6;7;7;PG08
396;15;Systems Analyst;66;Systems Analyst V;10;5;5;6;6;7;8;11;PG10
397;1;Accounting And Finance;1;Accountant I;5;3;1;3;3;4;3;5;PG05
398;1;Accounting And Finance;2;Accountant II;6;4;1;5;4;5;7;7;PG06
399;1;Accounting And Finance;3;Accountant III;8;4;2;6;5;6;7;10;PG08
400;1;Accounting And Finance;4;Accountant IV;10;5;5;6;6;7;8;11;PG10
401;2;Administrative Support;5;Admin Support I;1;1;0;1;1;1;1;1;PG01
402;2;Administrative Support;6;Admin Support II;2;1;1;1;1;1;2;3;PG02
403;2;Administrative Support;7;Admin Support III;3;1;2;1;2;1;3;3;PG03
404;2;Administrative Support;8;Administrative Support IV;4;4;0;1;2;1;3;5;PG04
405;2;Administrative Support;9;Administrative Support V;5;4;0;4;3;5;7;7;PG05
406;3;Baker;10;Baker I;4;2;0;1;4;1;1;2;PG04
407;3;Baker;11;Baker II;6;2;0;3;4;1;6;4;PG06
408;3;Baker;12;Baker III;9;2;0;4;5;5;6;10;PG09
409;4;Buildings And Facilities;13;Facilities I;5;1;0;3;4;3;7;4;PG05
410;4;Buildings And Facilities;14;Facilities II;6;3;0;3;4;5;6;7;PG06
411;4;Buildings And Facilities;15;Facilities III;9;4;0;4;5;7;6;10;PG09
412;4;Buildings And Facilities;16;Facilities IV;10;5;0;6;6;7;8;11;PG10
413;4;Buildings And Facilities;44;Maintenance Services I;2;1;0;1;2;1;1;1;PG02
414;4;Buildings And Facilities;45;Maintenance Services II;3;1;1;1;2;1;1;1;PG03
415;4;Buildings And Facilities;46;Maintenance Services III;4;1;1;3;3;4;3;2;PG04
416;4;Buildings And Facilities;47;Maintenance Services IV;5;3;2;3;4;5;8;4;PG05
417;5;Buyer;17;Buyer II;5;2;1;3;3;4;3;5;PG05
418;5;Buyer;18;Buyer III;8;4;0;6;5;6;7;8;PG08
419;5;Buyer;19;Buyer IV;9;4;10;6;5;6;7;9;PG09
420;6;Cashier;20;Cashier I;1;1;2;2;1;2;1;1;PG01
421;6;Cashier;21;Cashier II;3;3;3;2;3;4;2;1;PG03
422;6;Cashier;22;Cashier III;6;4;2;4;4;5;7;7;PG06
423;7;Communications And Media;23;Communications I;4;2;0;1;3;4;4;1;PG04
424;7;Communications And Media;24;Communications II;5;4;0;1;2;1;3;4;PG05
425;7;Communications And Media;25;Communications III;8;5;2;5;5;6;7;10;PG08
426;7;Communications And Media;26;Photographer  I;2;1;0;1;1;1;1;1;PG02
427;7;Communications And Media;27;Photographer II;3;1;1;1;2;1;3;3;PG03
428;7;Communications And Media;28;Photographer III;5;4;0;1;3;1;4;3;PG05
429;7;Communications And Media;29;Photographer IV;7;4;0;3;4;5;7;7;PG07
430;7;Communications And Media;30;Printing II;2;1;0;1;2;1;1;1;PG02
431;7;Communications And Media;31;Printing III;4;1;0;3;3;4;5;4;PG04
432;7;Communications And Media;32;Printing IV;5;2;0;3;4;4;5;4;PG05
433;8;Corporate Research;33;Data Scientist;10;6;5;6;6;7;7;11;PG10
434;8;Corporate Research;34;Research  Analyst I;2;1;0;1;1;1;1;1;PG02
435;8;Corporate Research;35;Research  Analyst II;4;3;0;3;2;1;1;1;PG04
436;8;Corporate Research;36;Research  Analyst Iii;5;4;2;3;4;4;1;2;PG05
437;8;Corporate Research;37;Research  Analyst IV;8;6;5;4;5;6;7;11;PG08
438;9;Finance  And Accounting;38;Financial  Officer I;5;4;1;3;4;4;3;5;PG05
439;9;Finance  And Accounting;39;Financial  Officer II;6;4;2;3;4;5;6;7;PG06
440;9;Finance  And Accounting;40;Financial  Officer III;9;4;3;6;5;6;7;10;PG09
441;10;Human Resources;41;Human Resources I;5;4;2;3;3;4;3;1;PG05
442;10;Human Resources;42;Human Resources II;7;4;3;4;4;4;7;1;PG07
443;10;Human Resources;43;Human Resources III;8;5;5;6;5;4;7;10;PG08
444;11;Meat Cutter;48;Meat Cutter I;5;4;1;3;3;4;3;3;PG05
445;11;Meat Cutter;49;Meat Cutter II;7;4;3;4;4;4;7;7;PG07
446;11;Meat Cutter;50;Meat Cutter III;9;5;5;6;5;6;7;10;PG09
447;11;Meat Cutter;51;Meat Cutter IV;10;5;5;6;6;7;8;11;PG10
448;12;Produce;52;Produce I;3;1;1;3;3;4;4;2;PG03
449;12;Produce;53;Produce II;6;4;1;4;4;4;6;2;PG06
450;12;Produce;54;Produce III;7;4;3;4;4;5;6;7;PG07
451;12;Produce;55;Produce IV;9;4;5;6;5;6;6;10;PG09
452;12;Produce;56;Produce V;10;5;8;6;6;7;8;11;PG10
453;13;Secretary;57;Secretary II;3;1;2;3;2;1;2;4;PG03
454;13;Secretary;58;Secretary III;5;2;3;3;3;4;3;5;PG05
455;14;Stockkeeping;59;StockKeeper I;4;3;0;1;2;1;3;1;PG04
456;14;Stockkeeping;60;StockKeeper II;5;3;0;3;3;1;7;5;PG05
457;14;Stockkeeping;61;StockKeeper III;8;4;0;4;5;6;7;7;PG08
458;15;Systems Analyst;62;Systems Analyst I;3;1;1;1;2;1;1;1;PG03
459;15;Systems Analyst;63;Systems Analyst II;5;4;1;3;3;4;3;4;PG05
460;15;Systems Analyst;64;Systems Analyst III;6;5;2;4;4;5;7;5;PG06
461;15;Systems Analyst;65;Systems Analyst IV;8;5;5;6;5;6;7;7;PG08
462;15;Systems Analyst;66;Systems Analyst V;10;5;5;6;6;7;8;11;PG10
463;1;Accounting And Finance;1;Accountant I;5;3;1;3;3;4;3;5;PG05
464;1;Accounting And Finance;2;Accountant II;6;4;1;5;4;5;7;7;PG06
465;1;Accounting And Finance;3;Accountant III;8;4;2;6;5;6;7;10;PG08
466;1;Accounting And Finance;4;Accountant IV;10;5;5;6;6;7;8;11;PG10
467;2;Administrative Support;5;Admin Support I;1;1;0;1;1;1;1;1;PG01
468;2;Administrative Support;6;Admin Support II;2;1;1;1;1;1;2;3;PG02
469;2;Administrative Support;7;Admin Support III;3;1;2;1;2;1;3;3;PG03
470;2;Administrative Support;8;Administrative Support IV;4;4;0;1;2;1;3;5;PG04
471;2;Administrative Support;9;Administrative Support V;5;4;0;4;3;5;7;7;PG05
472;3;Baker;10;Baker I;4;2;0;1;4;1;1;2;PG04
473;3;Baker;11;Baker II;6;2;0;3;4;1;6;4;PG06
474;3;Baker;12;Baker III;9;2;0;4;5;5;6;10;PG09
475;4;Buildings And Facilities;13;Facilities I;5;1;0;3;4;3;7;4;PG05
476;4;Buildings And Facilities;14;Facilities II;6;3;0;3;4;5;6;7;PG06
477;4;Buildings And Facilities;15;Facilities III;9;4;0;4;5;7;6;10;PG09
478;4;Buildings And Facilities;16;Facilities IV;10;5;0;6;6;7;8;11;PG10
479;4;Buildings And Facilities;44;Maintenance Services I;2;1;0;1;2;1;1;1;PG02
480;4;Buildings And Facilities;45;Maintenance Services II;3;1;1;1;2;1;1;1;PG03
481;4;Buildings And Facilities;46;Maintenance Services III;4;1;1;3;3;4;3;2;PG04
482;4;Buildings And Facilities;47;Maintenance Services IV;5;3;2;3;4;5;8;4;PG05
483;5;Buyer;17;Buyer II;5;2;1;3;3;4;3;5;PG05
484;5;Buyer;18;Buyer III;8;4;0;6;5;6;7;8;PG08
485;5;Buyer;19;Buyer IV;9;4;10;6;5;6;7;9;PG09
486;6;Cashier;20;Cashier I;1;1;2;2;1;2;1;1;PG01
487;6;Cashier;21;Cashier II;3;3;3;2;3;4;2;1;PG03
488;6;Cashier;22;Cashier III;6;4;2;4;4;5;7;7;PG06
489;7;Communications And Media;23;Communications I;4;2;0;1;3;4;4;1;PG04
490;7;Communications And Media;24;Communications II;5;4;0;1;2;1;3;4;PG05
491;7;Communications And Media;25;Communications III;8;5;2;5;5;6;7;10;PG08
492;7;Communications And Media;26;Photographer  I;2;1;0;1;1;1;1;1;PG02
493;7;Communications And Media;27;Photographer II;3;1;1;1;2;1;3;3;PG03
494;7;Communications And Media;28;Photographer III;5;4;0;1;3;1;4;3;PG05
495;7;Communications And Media;29;Photographer IV;7;4;0;3;4;5;7;7;PG07
496;7;Communications And Media;30;Printing II;2;1;0;1;2;1;1;1;PG02
497;7;Communications And Media;31;Printing III;4;1;0;3;3;4;5;4;PG04
498;7;Communications And Media;32;Printing IV;5;2;0;3;4;4;5;4;PG05
499;8;Corporate Research;33;Data Scientist;10;6;5;6;6;7;7;11;PG10
500;8;Corporate Research;34;Research  Analyst I;2;1;0;1;1;1;1;1;PG02
501;8;Corporate Research;35;Research  Analyst II;4;3;0;3;2;1;1;1;PG04
502;8;Corporate Research;36;Research  Analyst Iii;5;4;2;3;4;4;1;2;PG05
503;8;Corporate Research;37;Research  Analyst IV;8;6;5;4;5;6;7;11;PG08
504;9;Finance  And Accounting;38;Financial  Officer I;5;4;1;3;4;4;3;5;PG05
505;9;Finance  And Accounting;39;Financial  Officer II;6;4;2;3;4;5;6;7;PG06
506;9;Finance  And Accounting;40;Financial  Officer III;9;4;3;6;5;6;7;10;PG09
507;10;Human Resources;41;Human Resources I;5;4;2;3;3;4;3;1;PG05
508;10;Human Resources;42;Human Resources II;7;4;3;4;4;4;7;1;PG07
509;10;Human Resources;43;Human Resources III;8;5;5;6;5;4;7;10;PG08
510;11;Meat Cutter;48;Meat Cutter I;5;4;1;3;3;4;3;3;PG05
511;11;Meat Cutter;49;Meat Cutter II;7;4;3;4;4;4;7;7;PG07
512;11;Meat Cutter;50;Meat Cutter III;9;5;5;6;5;6;7;10;PG09
513;11;Meat Cutter;51;Meat Cutter IV;10;5;5;6;6;7;8;11;PG10
514;12;Produce;52;Produce I;3;1;1;3;3;4;4;2;PG03
515;12;Produce;53;Produce II;6;4;1;4;4;4;6;2;PG06
516;12;Produce;54;Produce III;7;4;3;4;4;5;6;7;PG07
517;12;Produce;55;Produce IV;9;4;5;6;5;6;6;10;PG09
518;12;Produce;56;Produce V;10;5;8;6;6;7;8;11;PG10
519;13;Secretary;57;Secretary II;3;1;2;3;2;1;2;4;PG03
520;13;Secretary;58;Secretary III;5;2;3;3;3;4;3;5;PG05
521;14;Stockkeeping;59;StockKeeper I;4;3;0;1;2;1;3;1;PG04
522;14;Stockkeeping;60;StockKeeper II;5;3;0;3;3;1;7;5;PG05
523;14;Stockkeeping;61;StockKeeper III;8;4;0;4;5;6;7;7;PG08
524;15;Systems Analyst;62;Systems Analyst I;3;1;1;1;2;1;1;1;PG03
525;15;Systems Analyst;63;Systems Analyst II;5;4;1;3;3;4;3;4;PG05
526;15;Systems Analyst;64;Systems Analyst III;6;5;2;4;4;5;7;5;PG06
527;15;Systems Analyst;65;Systems Analyst IV;8;5;5;6;5;6;7;7;PG08
